"","cat_pais","ncat_eleccion","ncat_ronda","democraciappolity","source_democraciappolity","democraciavdemelectoralcomp","source_democraciavdemelectoralcomp","democraciavdempolyarchy","source_vdem_polyarchy"
"11","Colombia",2022,2,7,"Proyectado. Último valor disponible base Qof p_polity2",0.76,"Base Qof vdem_edcomp_thick",0.689,"Base Qof vdem_polyarchy"
"12","Colombia",2022,1,7,"Proyectado. Último valor disponible base Qof p_polity2",0.76,"Base Qof vdem_edcomp_thick",0.689,"Base Qof vdem_polyarchy"
"13","Costa Rica",2022,2,10,"Proyectado. Último valor disponible base Qof p_polity2",0.918,"Base Qof vdem_edcomp_thick",0.871,"Base Qof vdem_polyarchy"
"14","Costa Rica",2022,1,10,"Proyectado. Último valor disponible base Qof p_polity2",0.918,"Base Qof vdem_edcomp_thick",0.871,"Base Qof vdem_polyarchy"
"15","Chile",2021,2,10,"Proyectado. Último valor disponible base Qof p_polity2",0.894,"Base Qof vdem_edcomp_thick",0.836,"Base Qof vdem_polyarchy"
"16","Chile",2021,1,10,"Proyectado. Último valor disponible base Qof p_polity2",0.894,"Base Qof vdem_edcomp_thick",0.836,"Base Qof vdem_polyarchy"
"17","Ecuador",2021,2,5,"Proyectado. Último valor disponible base Qof p_polity2",0.702,"Base Qof vdem_edcomp_thick",0.613,"Base Qof vdem_polyarchy"
"18","Ecuador",2021,1,5,"Proyectado. Último valor disponible base Qof p_polity2",0.702,"Base Qof vdem_edcomp_thick",0.613,"Base Qof vdem_polyarchy"
"19","Honduras",2021,1,7,"Proyectado. Último valor disponible base Qof p_polity2",0.461,"Base Qof vdem_edcomp_thick",0.403,"Base Qof vdem_polyarchy"
"20","Peru",2021,2,9,"Proyectado. Último valor disponible base Qof p_polity2",0.847,"Base Qof vdem_edcomp_thick",0.771,"Base Qof vdem_polyarchy"
"21","Peru",2021,1,9,"Proyectado. Último valor disponible base Qof p_polity2",0.847,"Base Qof vdem_edcomp_thick",0.771,"Base Qof vdem_polyarchy"
"22","Bolivia",2020,1,7,"Proyectado. Último valor disponible base Qof p_polity2",0.341,"Base Qof vdem_edcomp_thick",0.332,"Base Qof vdem_polyarchy"
"23","Republica Dominicana",2020,1,7,"Proyectado. Último valor disponible base Qof p_polity2",0.68,"Base Qof vdem_edcomp_thick",0.646,"Base Qof vdem_polyarchy"
"24","Argentina",2019,1,9,"Proyectado. Último valor disponible base Qof p_polity2",0.857,"Base Qof vdem_edcomp_thick",0.771,"Base Qof vdem_polyarchy"
"25","Bolivia",2019,1,7,"Proyectado. Último valor disponible base Qof p_polity2",0.608,"Base Qof vdem_edcomp_thick",0.484,"Base Qof vdem_polyarchy"
"26","El Salvador",2019,1,8,"Proyectado. Último valor disponible base Qof p_polity2",0.745,"Base Qof vdem_edcomp_thick",0.626,"Base Qof vdem_polyarchy"
"27","Guatemala",2019,2,8,"Proyectado. Último valor disponible base Qof p_polity2",0.684,"Base Qof vdem_edcomp_thick",0.564,"Base Qof vdem_polyarchy"
"28","Guatemala",2019,1,8,"Proyectado. Último valor disponible base Qof p_polity2",0.684,"Base Qof vdem_edcomp_thick",0.564,"Base Qof vdem_polyarchy"
"29","Panama",2019,1,9,"Proyectado. Último valor disponible base Qof p_polity2",0.837,"Base Qof vdem_edcomp_thick",0.734,"Base Qof vdem_polyarchy"
"30","Uruguay",2019,2,10,"Proyectado. Último valor disponible base Qof p_polity2",0.909,"Base Qof vdem_edcomp_thick",0.89,"Base Qof vdem_polyarchy"
"31","Uruguay",2019,1,10,"Proyectado. Último valor disponible base Qof p_polity2",0.909,"Base Qof vdem_edcomp_thick",0.89,"Base Qof vdem_polyarchy"
"32","Brasil",2018,2,8,"Base Qof p_polity2",0.859,"Base Qof vdem_edcomp_thick",0.742,"Base Qof vdem_polyarchy"
"33","Brasil",2018,1,8,"Base Qof p_polity2",0.859,"Base Qof vdem_edcomp_thick",0.742,"Base Qof vdem_polyarchy"
"34","Colombia",2018,2,7,"Base Qof p_polity2",0.774,"Base Qof vdem_edcomp_thick",0.672,"Base Qof vdem_polyarchy"
"35","Colombia",2018,1,7,"Base Qof p_polity2",0.774,"Base Qof vdem_edcomp_thick",0.672,"Base Qof vdem_polyarchy"
"36","Costa Rica",2018,2,10,"Base Qof p_polity2",0.927,"Base Qof vdem_edcomp_thick",0.894,"Base Qof vdem_polyarchy"
"37","Costa Rica",2018,1,10,"Base Qof p_polity2",0.927,"Base Qof vdem_edcomp_thick",0.894,"Base Qof vdem_polyarchy"
"38","Mexico",2018,1,8,"Base Qof p_polity2",0.738,"Base Qof vdem_edcomp_thick",0.671,"Base Qof vdem_polyarchy"
"39","Paraguay",2018,1,9,"Base Qof p_polity2",0.687,"Base Qof vdem_edcomp_thick",0.585,"Base Qof vdem_polyarchy"
"40","Venezuela",2018,1,-3,"Base Qof p_polity2",0.321,"Base Qof vdem_edcomp_thick",0.216,"Base Qof vdem_polyarchy"
"41","Chile",2017,2,10,"Base Qof p_polity2",0.925,"Base Qof vdem_edcomp_thick",0.891,"Base Qof vdem_polyarchy"
"42","Chile",2017,1,10,"Base Qof p_polity2",0.925,"Base Qof vdem_edcomp_thick",0.891,"Base Qof vdem_polyarchy"
"43","Ecuador",2017,2,5,"Base Qof p_polity2",0.661,"Base Qof vdem_edcomp_thick",0.559,"Base Qof vdem_polyarchy"
"44","Ecuador",2017,1,5,"Base Qof p_polity2",0.661,"Base Qof vdem_edcomp_thick",0.559,"Base Qof vdem_polyarchy"
"45","Honduras",2017,1,7,"Base Qof p_polity2",0.503,"Base Qof vdem_edcomp_thick",0.427,"Base Qof vdem_polyarchy"
"46","Nicaragua",2016,1,6,"Base Qof p_polity2",0.397,"Base Qof vdem_edcomp_thick",0.308,"Base Qof vdem_polyarchy"
"47","Peru",2016,2,9,"Base Qof p_polity2",0.821,"Base Qof vdem_edcomp_thick",0.783,"Base Qof vdem_polyarchy"
"48","Peru",2016,1,9,"Base Qof p_polity2",0.821,"Base Qof vdem_edcomp_thick",0.783,"Base Qof vdem_polyarchy"
"49","Republica Dominicana",2016,1,7,"Base Qof p_polity2",0.646,"Base Qof vdem_edcomp_thick",0.556,"Base Qof vdem_polyarchy"
"50","Argentina",2015,2,9,"Base Qof p_polity2",0.84,"Base Qof vdem_edcomp_thick",0.777,"Base Qof vdem_polyarchy"
"51","Argentina",2015,1,9,"Base Qof p_polity2",0.84,"Base Qof vdem_edcomp_thick",0.777,"Base Qof vdem_polyarchy"
"52","Guatemala",2015,2,8,"Base Qof p_polity2",0.687,"Base Qof vdem_edcomp_thick",0.599,"Base Qof vdem_polyarchy"
"53","Guatemala",2015,1,8,"Base Qof p_polity2",0.687,"Base Qof vdem_edcomp_thick",0.599,"Base Qof vdem_polyarchy"
"54","Bolivia",2014,1,7,"Base Qof p_polity2",0.759,"Base Qof vdem_edcomp_thick",0.651,"Base Qof vdem_polyarchy"
"55","Brasil",2014,2,8,"Base Qof p_polity2",0.917,"Base Qof vdem_edcomp_thick",0.876,"Base Qof vdem_polyarchy"
"56","Brasil",2014,1,8,"Base Qof p_polity2",0.917,"Base Qof vdem_edcomp_thick",0.876,"Base Qof vdem_polyarchy"
"57","Colombia",2014,2,7,"Base Qof p_polity2",0.747,"Base Qof vdem_edcomp_thick",0.671,"Base Qof vdem_polyarchy"
"58","Colombia",2014,1,7,"Base Qof p_polity2",0.747,"Base Qof vdem_edcomp_thick",0.671,"Base Qof vdem_polyarchy"
"59","Costa Rica",2014,2,10,"Base Qof p_polity2",0.934,"Base Qof vdem_edcomp_thick",0.908,"Base Qof vdem_polyarchy"
"60","Costa Rica",2014,1,10,"Base Qof p_polity2",0.934,"Base Qof vdem_edcomp_thick",0.908,"Base Qof vdem_polyarchy"
"61","El Salvador",2014,2,8,"Base Qof p_polity2",0.742,"Base Qof vdem_edcomp_thick",0.671,"Base Qof vdem_polyarchy"
"62","El Salvador",2014,1,8,"Base Qof p_polity2",0.742,"Base Qof vdem_edcomp_thick",0.671,"Base Qof vdem_polyarchy"
"63","Panama",2014,1,9,"Base Qof p_polity2",0.835,"Base Qof vdem_edcomp_thick",0.744,"Base Qof vdem_polyarchy"
"64","Uruguay",2014,2,10,"Base Qof p_polity2",0.925,"Base Qof vdem_edcomp_thick",0.905,"Base Qof vdem_polyarchy"
"65","Uruguay",2014,1,10,"Base Qof p_polity2",0.925,"Base Qof vdem_edcomp_thick",0.905,"Base Qof vdem_polyarchy"
"66","Chile",2013,2,10,"Base Qof p_polity2",0.924,"Base Qof vdem_edcomp_thick",0.895,"Base Qof vdem_polyarchy"
"67","Chile",2013,1,10,"Base Qof p_polity2",0.924,"Base Qof vdem_edcomp_thick",0.895,"Base Qof vdem_polyarchy"
"68","Ecuador",2013,1,5,"Base Qof p_polity2",0.659,"Base Qof vdem_edcomp_thick",0.545,"Base Qof vdem_polyarchy"
"69","Honduras",2013,1,7,"Base Qof p_polity2",0.498,"Base Qof vdem_edcomp_thick",0.421,"Base Qof vdem_polyarchy"
"70","Paraguay",2013,1,9,"Base Qof p_polity2",0.707,"Base Qof vdem_edcomp_thick",0.592,"Base Qof vdem_polyarchy"
"71","Venezuela",2013,1,4,"Base Qof p_polity2",0.454,"Base Qof vdem_edcomp_thick",0.333,"Base Qof vdem_polyarchy"
"72","Mexico",2012,1,8,"Base Qof p_polity2",0.732,"Base Qof vdem_edcomp_thick",0.645,"Base Qof vdem_polyarchy"
"73","Republica Dominicana",2012,1,8,"Base Qof p_polity2",0.677,"Base Qof vdem_edcomp_thick",0.603,"Base Qof vdem_polyarchy"
"74","Venezuela",2012,1,-3,"Base Qof p_polity2",0.522,"Base Qof vdem_edcomp_thick",0.411,"Base Qof vdem_polyarchy"
"75","Argentina",2011,1,8,"Base Qof p_polity2",0.828,"Base Qof vdem_edcomp_thick",0.778,"Base Qof vdem_polyarchy"
"76","Guatemala",2011,2,8,"Base Qof p_polity2",0.673,"Base Qof vdem_edcomp_thick",0.586,"Base Qof vdem_polyarchy"
"77","Guatemala",2011,1,8,"Base Qof p_polity2",0.673,"Base Qof vdem_edcomp_thick",0.586,"Base Qof vdem_polyarchy"
"78","Nicaragua",2011,1,9,"Base Qof p_polity2",0.53,"Base Qof vdem_edcomp_thick",0.428,"Base Qof vdem_polyarchy"
"79","Peru",2011,2,9,"Base Qof p_polity2",0.85,"Base Qof vdem_edcomp_thick",0.807,"Base Qof vdem_polyarchy"
"80","Peru",2011,1,9,"Base Qof p_polity2",0.85,"Base Qof vdem_edcomp_thick",0.807,"Base Qof vdem_polyarchy"
"81","Brasil",2010,2,8,"Base Qof p_polity2",0.916,"Base Qof vdem_edcomp_thick",0.872,"Base Qof vdem_polyarchy"
"82","Brasil",2010,1,8,"Base Qof p_polity2",0.916,"Base Qof vdem_edcomp_thick",0.872,"Base Qof vdem_polyarchy"
"83","Chile",2010,2,10,"Base Qof p_polity2",0.927,"Base Qof vdem_edcomp_thick",0.89,"Base Qof vdem_polyarchy"
"84","Colombia",2010,2,7,"Base Qof p_polity2",0.702,"Base Qof vdem_edcomp_thick",0.617,"Base Qof vdem_polyarchy"
"85","Colombia",2010,1,7,"Base Qof p_polity2",0.702,"Base Qof vdem_edcomp_thick",0.617,"Base Qof vdem_polyarchy"
"86","Costa Rica",2010,1,10,"Base Qof p_polity2",0.933,"Base Qof vdem_edcomp_thick",0.912,"Base Qof vdem_polyarchy"
"87","Bolivia",2009,1,7,"Base Qof p_polity2",0.803,"Base Qof vdem_edcomp_thick",0.718,"Base Qof vdem_polyarchy"
"88","Chile",2010,1,10,"Base Qof p_polity2",0.925,"Base Qof vdem_edcomp_thick",0.889,"Base Qof vdem_polyarchy"
"89","Ecuador",2009,1,5,"Base Qof p_polity2",0.706,"Base Qof vdem_edcomp_thick",0.621,"Base Qof vdem_polyarchy"
"90","El Salvador",2009,1,8,"Base Qof p_polity2",0.667,"Base Qof vdem_edcomp_thick",0.601,"Base Qof vdem_polyarchy"
"91","Honduras",2009,1,7,"Base Qof p_polity2",0.556,"Base Qof vdem_edcomp_thick",0.45,"Base Qof vdem_polyarchy"
"92","Panama",2009,1,9,"Base Qof p_polity2",0.832,"Base Qof vdem_edcomp_thick",0.742,"Base Qof vdem_polyarchy"
"93","Uruguay",2009,2,10,"Base Qof p_polity2",0.911,"Base Qof vdem_edcomp_thick",0.893,"Base Qof vdem_polyarchy"
"94","Uruguay",2009,1,10,"Base Qof p_polity2",0.911,"Base Qof vdem_edcomp_thick",0.893,"Base Qof vdem_polyarchy"
"95","Paraguay",2008,1,8,"Base Qof p_polity2",0.708,"Base Qof vdem_edcomp_thick",0.625,"Base Qof vdem_polyarchy"
"96","Republica Dominicana",2008,1,8,"Base Qof p_polity2",0.701,"Base Qof vdem_edcomp_thick",0.636,"Base Qof vdem_polyarchy"
"97","Argentina",2007,1,8,"Base Qof p_polity2",0.846,"Base Qof vdem_edcomp_thick",0.795,"Base Qof vdem_polyarchy"
"98","Guatemala",2007,2,8,"Base Qof p_polity2",0.663,"Base Qof vdem_edcomp_thick",0.576,"Base Qof vdem_polyarchy"
"99","Guatemala",2007,1,8,"Base Qof p_polity2",0.663,"Base Qof vdem_edcomp_thick",0.576,"Base Qof vdem_polyarchy"
"100","Brasil",2006,2,8,"Base Qof p_polity2",0.915,"Base Qof vdem_edcomp_thick",0.876,"Base Qof vdem_polyarchy"
"101","Brasil",2006,1,8,"Base Qof p_polity2",0.915,"Base Qof vdem_edcomp_thick",0.876,"Base Qof vdem_polyarchy"
"102","Chile",2006,2,10,"Base Qof p_polity2",0.926,"Base Qof vdem_edcomp_thick",0.892,"Base Qof vdem_polyarchy"
"103","Colombia",2006,1,7,"Base Qof p_polity2",0.665,"Base Qof vdem_edcomp_thick",0.563,"Base Qof vdem_polyarchy"
"104","Costa Rica",2006,1,10,"Base Qof p_polity2",0.93,"Base Qof vdem_edcomp_thick",0.907,"Base Qof vdem_polyarchy"
"105","Ecuador",2006,2,7,"Base Qof p_polity2",0.803,"Base Qof vdem_edcomp_thick",0.703,"Base Qof vdem_polyarchy"
"106","Ecuador",2006,1,7,"Base Qof p_polity2",0.803,"Base Qof vdem_edcomp_thick",0.703,"Base Qof vdem_polyarchy"
"107","Mexico",2006,1,8,"Base Qof p_polity2",0.762,"Base Qof vdem_edcomp_thick",0.675,"Base Qof vdem_polyarchy"
"108","Nicaragua",2006,1,8,"Base Qof p_polity2",0.63,"Base Qof vdem_edcomp_thick",0.569,"Base Qof vdem_polyarchy"
"109","Peru",2006,2,9,"Base Qof p_polity2",0.84,"Base Qof vdem_edcomp_thick",0.796,"Base Qof vdem_polyarchy"
"110","Peru",2006,1,9,"Base Qof p_polity2",0.84,"Base Qof vdem_edcomp_thick",0.796,"Base Qof vdem_polyarchy"
"111","Venezuela",2006,1,5,"Base Qof p_polity2",0.564,"Base Qof vdem_edcomp_thick",0.451,"Base Qof vdem_polyarchy"
"112","Bolivia",2005,1,8,"Base Qof p_polity2",0.824,"Base Qof vdem_edcomp_thick",0.754,"Base Qof vdem_polyarchy"
"113","Chile",2006,1,9,"Base Qof p_polity2",0.917,"Base Qof vdem_edcomp_thick",0.88,"Base Qof vdem_polyarchy"
"114","Honduras",2005,1,7,"Base Qof p_polity2",0.647,"Base Qof vdem_edcomp_thick",0.564,"Base Qof vdem_polyarchy"
"115","El Salvador",2004,1,7,"Base Qof p_polity2",0.625,"Base Qof vdem_edcomp_thick",0.545,"Base Qof vdem_polyarchy"
"116","Panama",2004,1,9,"Base Qof p_polity2",0.811,"Base Qof vdem_edcomp_thick",0.739,"Base Qof vdem_polyarchy"
"117","Republica Dominicana",2004,1,8,"Base Qof p_polity2",0.719,"Base Qof vdem_edcomp_thick",0.652,"Base Qof vdem_polyarchy"
"118","Uruguay",2004,1,10,"Base Qof p_polity2",0.906,"Base Qof vdem_edcomp_thick",0.876,"Base Qof vdem_polyarchy"
"119","Argentina",2003,1,8,"Base Qof p_polity2",0.869,"Base Qof vdem_edcomp_thick",0.813,"Base Qof vdem_polyarchy"
"120","Guatemala",2003,2,8,"Base Qof p_polity2",0.637,"Base Qof vdem_edcomp_thick",0.556,"Base Qof vdem_polyarchy"
"121","Guatemala",2003,1,8,"Base Qof p_polity2",0.637,"Base Qof vdem_edcomp_thick",0.556,"Base Qof vdem_polyarchy"
"122","Paraguay",2003,1,8,"Base Qof p_polity2",0.695,"Base Qof vdem_edcomp_thick",0.573,"Base Qof vdem_polyarchy"
"123","Bolivia",2002,1,9,"Base Qof p_polity2",0.822,"Base Qof vdem_edcomp_thick",0.732,"Base Qof vdem_polyarchy"
"124","Brasil",2002,2,8,"Base Qof p_polity2",0.902,"Base Qof vdem_edcomp_thick",0.859,"Base Qof vdem_polyarchy"
"125","Brasil",2002,1,8,"Base Qof p_polity2",0.902,"Base Qof vdem_edcomp_thick",0.859,"Base Qof vdem_polyarchy"
"126","Colombia",2002,1,7,"Base Qof p_polity2",0.633,"Base Qof vdem_edcomp_thick",0.539,"Base Qof vdem_polyarchy"
"127","Costa Rica",2002,2,10,"Base Qof p_polity2",0.923,"Base Qof vdem_edcomp_thick",0.901,"Base Qof vdem_polyarchy"
"128","Costa Rica",2002,1,10,"Base Qof p_polity2",0.923,"Base Qof vdem_edcomp_thick",0.901,"Base Qof vdem_polyarchy"
"129","Ecuador",2002,2,6,"Base Qof p_polity2",0.795,"Base Qof vdem_edcomp_thick",0.699,"Base Qof vdem_polyarchy"
"130","Ecuador",2002,1,6,"Base Qof p_polity2",0.795,"Base Qof vdem_edcomp_thick",0.699,"Base Qof vdem_polyarchy"
"131","Honduras",2001,1,7,"Base Qof p_polity2",0.647,"Base Qof vdem_edcomp_thick",0.554,"Base Qof vdem_polyarchy"
"132","Nicaragua",2001,1,8,"Base Qof p_polity2",0.644,"Base Qof vdem_edcomp_thick",0.596,"Base Qof vdem_polyarchy"
"133","Peru",2001,2,9,"Base Qof p_polity2",0.766,"Base Qof vdem_edcomp_thick",0.736,"Base Qof vdem_polyarchy"
"134","Peru",2001,1,9,"Base Qof p_polity2",0.766,"Base Qof vdem_edcomp_thick",0.736,"Base Qof vdem_polyarchy"
"135","Chile",2000,2,9,"Base Qof p_polity2",0.917,"Base Qof vdem_edcomp_thick",0.88,"Base Qof vdem_polyarchy"
"136","Mexico",2000,1,8,"Base Qof p_polity2",0.762,"Base Qof vdem_edcomp_thick",0.667,"Base Qof vdem_polyarchy"
"137","Peru",2000,2,4,"Base Qof p_polity2",0.513,"Base Qof vdem_edcomp_thick",0.432,"Base Qof vdem_polyarchy"
"138","Peru",2000,1,4,"Base Qof p_polity2",0.513,"Base Qof vdem_edcomp_thick",0.432,"Base Qof vdem_polyarchy"
"139","Republica Dominicana",2000,1,8,"Base Qof p_polity2",0.724,"Base Qof vdem_edcomp_thick",0.656,"Base Qof vdem_polyarchy"
"140","Venezuela",2000,1,7,"Base Qof p_polity2",0.708,"Base Qof vdem_edcomp_thick",0.58,"Base Qof vdem_polyarchy"
"141","Argentina",1999,1,8,"Base Qof p_polity2",0.87,"Base Qof vdem_edcomp_thick",0.832,"Base Qof vdem_polyarchy"
"142","Chile",2000,1,8,"Base Qof p_polity2",0.917,"Base Qof vdem_edcomp_thick",0.859,"Base Qof vdem_polyarchy"
"143","El Salvador",1999,1,7,"Base Qof p_polity2",0.595,"Base Qof vdem_edcomp_thick",0.508,"Base Qof vdem_polyarchy"
"144","Guatemala",1999,2,8,"Base Qof p_polity2",0.607,"Base Qof vdem_edcomp_thick",0.503,"Base Qof vdem_polyarchy"
"145","Guatemala",1999,1,8,"Base Qof p_polity2",0.607,"Base Qof vdem_edcomp_thick",0.503,"Base Qof vdem_polyarchy"
"146","Panama",1999,1,9,"Base Qof p_polity2",0.771,"Base Qof vdem_edcomp_thick",0.704,"Base Qof vdem_polyarchy"
"147","Uruguay",1999,2,10,"Base Qof p_polity2",0.91,"Base Qof vdem_edcomp_thick",0.875,"Base Qof vdem_polyarchy"
"148","Uruguay",1999,1,10,"Base Qof p_polity2",0.91,"Base Qof vdem_edcomp_thick",0.875,"Base Qof vdem_polyarchy"
"149","Brasil",1998,1,8,"Base Qof p_polity2",0.896,"Base Qof vdem_edcomp_thick",0.851,"Base Qof vdem_polyarchy"
"150","Colombia",1998,2,7,"Base Qof p_polity2",0.637,"Base Qof vdem_edcomp_thick",0.545,"Base Qof vdem_polyarchy"
"151","Colombia",1998,1,7,"Base Qof p_polity2",0.637,"Base Qof vdem_edcomp_thick",0.545,"Base Qof vdem_polyarchy"
"152","Costa Rica",1998,1,10,"Base Qof p_polity2",0.92,"Base Qof vdem_edcomp_thick",0.899,"Base Qof vdem_polyarchy"
"153","Ecuador",1998,2,9,"Base Qof p_polity2",0.798,"Base Qof vdem_edcomp_thick",0.697,"Base Qof vdem_polyarchy"
"154","Ecuador",1998,1,9,"Base Qof p_polity2",0.798,"Base Qof vdem_edcomp_thick",0.697,"Base Qof vdem_polyarchy"
"155","Paraguay",1998,1,6,"Base Qof p_polity2",0.656,"Base Qof vdem_edcomp_thick",0.541,"Base Qof vdem_polyarchy"
"156","Venezuela",1998,1,8,"Base Qof p_polity2",0.8,"Base Qof vdem_edcomp_thick",0.739,"Base Qof vdem_polyarchy"
"157","Bolivia",1997,1,9,"Base Qof p_polity2",0.84,"Base Qof vdem_edcomp_thick",0.746,"Base Qof vdem_polyarchy"
"158","Honduras",1997,1,6,"Base Qof p_polity2",0.65,"Base Qof vdem_edcomp_thick",0.554,"Base Qof vdem_polyarchy"
"159","Ecuador",1996,2,9,"Base Qof p_polity2",0.808,"Base Qof vdem_edcomp_thick",0.704,"Base Qof vdem_polyarchy"
"160","Ecuador",1996,1,9,"Base Qof p_polity2",0.808,"Base Qof vdem_edcomp_thick",0.704,"Base Qof vdem_polyarchy"
"161","Nicaragua",1996,1,8,"Base Qof p_polity2",0.732,"Base Qof vdem_edcomp_thick",0.682,"Base Qof vdem_polyarchy"
"162","Republica Dominicana",1996,2,8,"Base Qof p_polity2",0.616,"Base Qof vdem_edcomp_thick",0.542,"Base Qof vdem_polyarchy"
"163","Republica Dominicana",1996,1,8,"Base Qof p_polity2",0.616,"Base Qof vdem_edcomp_thick",0.542,"Base Qof vdem_polyarchy"
"164","Argentina",1995,1,7,"Base Qof p_polity2",0.871,"Base Qof vdem_edcomp_thick",0.835,"Base Qof vdem_polyarchy"
"165","Guatemala",1995,2,3,"Base Qof p_polity2",0.548,"Base Qof vdem_edcomp_thick",0.418,"Base Qof vdem_polyarchy"
"166","Guatemala",1995,1,3,"Base Qof p_polity2",0.548,"Base Qof vdem_edcomp_thick",0.418,"Base Qof vdem_polyarchy"
"167","Peru",1995,1,-1,"Base Qof p_polity2",0.267,"Base Qof vdem_edcomp_thick",0.246,"Base Qof vdem_polyarchy"
"168","Brasil",1994,1,8,"Base Qof p_polity2",0.893,"Base Qof vdem_edcomp_thick",0.849,"Base Qof vdem_polyarchy"
"169","Colombia",1994,2,9,"Base Qof p_polity2",0.649,"Base Qof vdem_edcomp_thick",0.56,"Base Qof vdem_polyarchy"
"170","Colombia",1994,1,9,"Base Qof p_polity2",0.649,"Base Qof vdem_edcomp_thick",0.56,"Base Qof vdem_polyarchy"
"171","Costa Rica",1994,1,10,"Base Qof p_polity2",0.917,"Base Qof vdem_edcomp_thick",0.895,"Base Qof vdem_polyarchy"
"172","El Salvador",1994,2,7,"Base Qof p_polity2",0.562,"Base Qof vdem_edcomp_thick",0.478,"Base Qof vdem_polyarchy"
"173","El Salvador",1994,1,7,"Base Qof p_polity2",0.562,"Base Qof vdem_edcomp_thick",0.478,"Base Qof vdem_polyarchy"
"174","Mexico",1994,1,4,"Base Qof p_polity2",0.567,"Base Qof vdem_edcomp_thick",0.472,"Base Qof vdem_polyarchy"
"175","Panama",1994,1,9,"Base Qof p_polity2",0.782,"Base Qof vdem_edcomp_thick",0.711,"Base Qof vdem_polyarchy"
"176","Republica Dominicana",1994,1,5,"Base Qof p_polity2",0.483,"Base Qof vdem_edcomp_thick",0.426,"Base Qof vdem_polyarchy"
"177","Uruguay",1994,1,10,"Base Qof p_polity2",0.883,"Base Qof vdem_edcomp_thick",0.837,"Base Qof vdem_polyarchy"
"178","Bolivia",1993,1,9,"Base Qof p_polity2",0.81,"Base Qof vdem_edcomp_thick",0.72,"Base Qof vdem_polyarchy"
"179","Chile",1993,1,8,"Base Qof p_polity2",0.879,"Base Qof vdem_edcomp_thick",0.823,"Base Qof vdem_polyarchy"
"180","Honduras",1993,1,6,"Base Qof p_polity2",0.597,"Base Qof vdem_edcomp_thick",0.497,"Base Qof vdem_polyarchy"
"181","Paraguay",1993,1,7,"Base Qof p_polity2",0.631,"Base Qof vdem_edcomp_thick",0.518,"Base Qof vdem_polyarchy"
"182","Venezuela",1993,1,8,"Base Qof p_polity2",0.808,"Base Qof vdem_edcomp_thick",0.751,"Base Qof vdem_polyarchy"
"183","Ecuador",1992,2,9,"Base Qof p_polity2",0.806,"Base Qof vdem_edcomp_thick",0.722,"Base Qof vdem_polyarchy"
"184","Ecuador",1992,1,9,"Base Qof p_polity2",0.806,"Base Qof vdem_edcomp_thick",0.722,"Base Qof vdem_polyarchy"
"185","Guatemala",1991,2,3,"Base Qof p_polity2",0.537,"Base Qof vdem_edcomp_thick",0.392,"Base Qof vdem_polyarchy"
"186","Colombia",1990,1,8,"Base Qof p_polity2",0.589,"Base Qof vdem_edcomp_thick",0.476,"Base Qof vdem_polyarchy"
"187","Costa Rica",1990,1,10,"Base Qof p_polity2",0.913,"Base Qof vdem_edcomp_thick",0.891,"Base Qof vdem_polyarchy"
