"","cat_pais","ncat_eleccion","ncat_ronda","propindivinternet2","propindivinternet","source_propindivinternet2","source_propindivinternet"
"40","Paraguay",1998,1,0,0.4485786,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"41","Paraguay",2003,1,2.11194,2.11194,"UIT, con base en: Comisión Nacional de Telecomunicaciones.","UIT, con base en: Comisión Nacional de Telecomunicaciones."
"42","Paraguay",2008,1,14.27,14.27,"UIT, con base en: Dirección General de Estadística, Encuestas y Censos","UIT, con base en: Dirección General de Estadística, Encuestas y Censos"
"43","Paraguay",2013,1,36.9,36.9,"UIT, con base en: Direccion General de Estadistica, Encuestas y Censos","UIT, con base en: Direccion General de Estadistica, Encuestas y Censos"
"44","Paraguay",2018,1,64.9935,64.9935,"UIT, con base en: Direccion General de Estadistica, Encuestas y Censos","UIT, con base en: Direccion General de Estadistica, Encuestas y Censos"
"45","Paraguay",2023,1,78.0948,78.0948,"UIT, con base en: Instituto Nacional de Estadistica","UIT, con base en: Instituto Nacional de Estadistica"
"46","Ecuador",1960,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"47","Ecuador",1968,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"48","Ecuador",1979,2,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"49","Ecuador",1984,2,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"50","Ecuador",1988,2,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"51","Ecuador",1992,2,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"52","Ecuador",1996,2,0,0.208884285714286,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"53","Ecuador",1998,2,0,0.835537142857143,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"54","Ecuador",2002,2,4.2608,4.2608,"UIT, con base en: ","UIT, con base en: "
"55","Ecuador",2006,2,7.2,7.2,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"56","Ecuador",2009,1,24.6,24.6,"UIT, con base en: Secretaría Nacional de Telecomunicaciones (SENATEL)","UIT, con base en: Secretaría Nacional de Telecomunicaciones (SENATEL)"
"57","Ecuador",2013,1,40.2791,40.2791,"UIT, con base en: Instituto Nacional de Estadistica y Censos","UIT, con base en: Instituto Nacional de Estadistica y Censos"
"58","Ecuador",2017,2,55.8,55.8,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"59","Ecuador",2021,2,70.2073,70.2073,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"60","Ecuador",2023,2,72.6943,72.6943,"UIT, con base en: Instituto Nacional de Estadistica y Censos","UIT, con base en: Instituto Nacional de Estadistica y Censos"
"61","Uruguay",1984,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"62","Uruguay",1989,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"63","Uruguay",1994,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"64","Uruguay",1999,2,0,7.02606666666667,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"65","Uruguay",2004,1,17.0631,17.0631,"UIT, con base en: Administración Nacional de Telecomunicaciones (ANTEL).","UIT, con base en: Administración Nacional de Telecomunicaciones (ANTEL)."
"66","Uruguay",2009,2,41.8,41.8,"UIT, con base en: Instituto Nacional de Estadística (INE).","UIT, con base en: Instituto Nacional de Estadística (INE)."
"67","Uruguay",2014,2,61.4625,61.4625,"UIT, con base en: I.N.E","UIT, con base en: I.N.E"
"68","Uruguay",2019,2,83.3515,83.3515,"UIT, con base en: Instituto Nacional de Estadistica","UIT, con base en: Instituto Nacional de Estadistica"
"69","Nicaragua",1984,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"70","Nicaragua",1990,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"71","Nicaragua",1996,1,0,0.1960432,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"72","Nicaragua",2001,1,1.4488,1.4488,"UIT, con base en: ","UIT, con base en: "
"73","Nicaragua",2006,1,2.80557,2.80557,"UIT, con base en: Instituto Nacional de Información de Desarrollo","UIT, con base en: Instituto Nacional de Información de Desarrollo"
"74","Nicaragua",2011,1,10.6,10.6,"UIT, con base en: Instituto Nicaraguense de Telecomunicaciones y Correos","UIT, con base en: Instituto Nicaraguense de Telecomunicaciones y Correos"
"75","Nicaragua",2016,1,24.5718,24.5718,"UIT, con base en: ITU Estimate.","UIT, con base en: ITU Estimate."
"76","Panama",1994,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"77","Panama",1999,1,0,5.24384,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"78","Panama",2004,1,11.1409,11.1409,"UIT, con base en: ","UIT, con base en: "
"79","Panama",2009,1,39.08,39.08,"UIT, con base en: Autoridad Nacional de los Servicios Públicos (ASEP)","UIT, con base en: Autoridad Nacional de los Servicios Públicos (ASEP)"
"80","Panama",2014,1,44.9238,44.9238,"UIT, con base en: Instituto Nacional de Estadística y Censo","UIT, con base en: Instituto Nacional de Estadística y Censo"
"81","Panama",2019,1,63.6284,63.6284,"UIT, con base en: Instituto Nacional de Estadística y Censo","UIT, con base en: Instituto Nacional de Estadística y Censo"
"82","Venezuela",1958,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"83","Venezuela",1963,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"84","Venezuela",1968,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"85","Venezuela",1973,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"86","Venezuela",1978,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"87","Venezuela",1983,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"88","Venezuela",1988,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"89","Venezuela",1993,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"90","Venezuela",1998,1,0,2.01576,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"91","Venezuela",2000,1,3.3596,3.3596,"UIT, con base en: Comisión Nacional de Telecomunicaciones (CONATEL).","UIT, con base en: Comisión Nacional de Telecomunicaciones (CONATEL)."
"92","Venezuela",2006,1,15.2247,15.2247,"UIT, con base en: Comisión Nacional de Telecomunicaciones (CONATEL).","UIT, con base en: Comisión Nacional de Telecomunicaciones (CONATEL)."
"93","Venezuela",2012,1,49.0501,49.0501,"UIT, con base en: Instituto Nacional de Estadística","UIT, con base en: Instituto Nacional de Estadística"
"94","Venezuela",2013,1,54.9,54.9,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"95","Venezuela",2018,1,61.6,61.6,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"96","Bolivia",1978,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"97","Bolivia",1979,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"98","Bolivia",1980,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"99","Bolivia",1985,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"100","Bolivia",1989,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"101","Bolivia",1993,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"102","Bolivia",1997,1,0,0.577104,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"103","Bolivia",2002,1,3.11719,3.11719,"UIT, con base en: SITTEL. ITU estimate.","UIT, con base en: SITTEL. ITU estimate."
"104","Bolivia",2005,1,5.22758,5.22758,"UIT, con base en: Superintendencia de Telecomunicaciones.","UIT, con base en: Superintendencia de Telecomunicaciones."
"105","Bolivia",2009,1,16.8,16.8,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"106","Bolivia",2014,1,34.6016,34.6016,"UIT, con base en: Statistic National Institute","UIT, con base en: Statistic National Institute"
"107","Bolivia",2019,1,47.4748,47.4748,"UIT, con base en: Instituto Nacional de Estadística","UIT, con base en: Instituto Nacional de Estadística"
"108","Bolivia",2020,1,59.9401,59.9401,"UIT, con base en: Instituto Nacional de Estadística","UIT, con base en: Instituto Nacional de Estadística"
"109","Mexico",1982,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"110","Mexico",1988,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"111","Mexico",1994,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"112","Mexico",2000,1,5.08138,5.08138,"UIT, con base en: COFETEL.","UIT, con base en: COFETEL."
"113","Mexico",2006,1,19.52,19.52,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"114","Mexico",2012,1,39.75,39.75,"UIT, con base en: Instituto Nacional de Estadística y Geografía (INEGI)","UIT, con base en: Instituto Nacional de Estadística y Geografía (INEGI)"
"115","Mexico",2018,1,56.6596,56.6596,"UIT, con base en: Instituto Nacional de Estadística y Geografía (INEGI)","UIT, con base en: Instituto Nacional de Estadística y Geografía (INEGI)"
"116","Guatemala",1966,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"117","Guatemala",1970,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"118","Guatemala",1974,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"119","Guatemala",1978,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"120","Guatemala",1982,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"121","Guatemala",1985,2,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"122","Guatemala",1991,2,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"123","Guatemala",1995,2,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"124","Guatemala",1999,2,0,0.474888666666667,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"125","Guatemala",2003,2,4.54885,4.54885,"UIT, con base en: ","UIT, con base en: "
"126","Guatemala",2007,2,7.3,7.3,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"127","Guatemala",2011,2,12.3,12.3,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"128","Guatemala",2015,2,28.8059,28.8059,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"129","Guatemala",2019,2,44.401,44.401,"UIT, con base en: Instituto Nacional de Estadistica","UIT, con base en: Instituto Nacional de Estadistica"
"130","Guatemala",2023,2,54.4043,54.4043,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"131","Honduras",1981,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"132","Honduras",1985,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"133","Honduras",1989,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"134","Honduras",1993,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"135","Honduras",1997,1,0,0.481544,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"136","Honduras",2001,1,1.41528,1.41528,"UIT, con base en: ","UIT, con base en: "
"137","Honduras",2005,1,6.5,6.5,"UIT, con base en: ITU based on ECLAC, OSILAC.","UIT, con base en: ITU based on ECLAC, OSILAC."
"138","Honduras",2009,1,9.8,9.8,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"139","Honduras",2013,1,17.8,17.8,"UIT, con base en: Instituto Nacional de Estadistica","UIT, con base en: Instituto Nacional de Estadistica"
"140","Honduras",2017,1,31.7358,31.7358,"UIT, con base en: ","UIT, con base en: "
"141","Honduras",2021,1,51.9801,51.9801,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"142","Colombia",1974,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"143","Colombia",1978,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"144","Colombia",1982,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"145","Colombia",1986,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"146","Colombia",1990,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"147","Colombia",1994,2,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"148","Colombia",1998,2,0,1.103765,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"149","Colombia",2002,1,4.6,4.6,"UIT, con base en: Ministerio de Comunicaciones.","UIT, con base en: Ministerio de Comunicaciones."
"150","Colombia",2006,1,15.3417,15.3417,"UIT, con base en: Ministerio de Comunicaciones.","UIT, con base en: Ministerio de Comunicaciones."
"151","Colombia",2010,2,36.5,36.5,"UIT, con base en: Departamento Administrativo Nacional de Estadística-DANE.","UIT, con base en: Departamento Administrativo Nacional de Estadística-DANE."
"152","Colombia",2014,2,52.5681,52.5681,"UIT, con base en: Departamento Administrativo Nacional de Estadistica (DANE)","UIT, con base en: Departamento Administrativo Nacional de Estadistica (DANE)"
"153","Colombia",2018,2,64.1264,64.1264,"UIT, con base en: Departamento Administrativo Nacional de Estadistica (DANE)","UIT, con base en: Departamento Administrativo Nacional de Estadistica (DANE)"
"154","Colombia",2022,2,72.7964,72.7964,"UIT, con base en: Departamento Administrativo Nacional de Estadistica (DANE)","UIT, con base en: Departamento Administrativo Nacional de Estadistica (DANE)"
"155","Costa Rica",1962,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"156","Costa Rica",1966,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"157","Costa Rica",1970,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"158","Costa Rica",1974,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"159","Costa Rica",1978,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"160","Costa Rica",1982,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"161","Costa Rica",1986,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"162","Costa Rica",1990,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"163","Costa Rica",1994,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"164","Costa Rica",1998,1,0,3.48015,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"165","Costa Rica",2002,2,19.8949,19.8949,"UIT, con base en: ","UIT, con base en: "
"166","Costa Rica",2006,1,25.1,25.1,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"167","Costa Rica",2010,1,36.5,36.5,"UIT, con base en: Instituto Nacional de Estadisticas y Censos (INEC)","UIT, con base en: Instituto Nacional de Estadisticas y Censos (INEC)"
"168","Costa Rica",2014,2,53,53,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"169","Costa Rica",2018,2,73.4797,73.4797,"UIT, con base en: Instituto Nacional de Estadisticas y Censos","UIT, con base en: Instituto Nacional de Estadisticas y Censos"
"170","Costa Rica",2022,2,82.598,82.598,"UIT, con base en: Instituto Nacional de Estadisticas y Censos","UIT, con base en: Instituto Nacional de Estadisticas y Censos"
"171","Republica Dominicana",1978,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"172","Republica Dominicana",1982,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"173","Republica Dominicana",1986,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"174","Republica Dominicana",1990,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"175","Republica Dominicana",1994,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"176","Republica Dominicana",1996,2,0,0.617448333333333,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"177","Republica Dominicana",2000,1,3.70469,3.70469,"UIT, con base en: Instituto Dominicano de las Telecomunicaciones (INDOTEL).","UIT, con base en: Instituto Dominicano de las Telecomunicaciones (INDOTEL)."
"178","Republica Dominicana",2004,1,8.86555,8.86555,"UIT, con base en: Instituto Dominicano de las Telecomunicaciones (INDOTEL).","UIT, con base en: Instituto Dominicano de las Telecomunicaciones (INDOTEL)."
"179","Republica Dominicana",2008,1,20.82,20.82,"UIT, con base en: Instituto Dominicano de las Telecomunicaciones (INDOTEL)","UIT, con base en: Instituto Dominicano de las Telecomunicaciones (INDOTEL)"
"180","Republica Dominicana",2012,1,42.32,42.32,"UIT, con base en: Oficina Nacional de Estadistica","UIT, con base en: Oficina Nacional de Estadistica"
"181","Republica Dominicana",2016,1,63.8709,63.8709,"UIT, con base en: Oficina Nacional de Estadistica","UIT, con base en: Oficina Nacional de Estadistica"
"182","Republica Dominicana",2020,1,81.6173,81.6173,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"183","El Salvador",1984,2,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"184","El Salvador",1989,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"185","El Salvador",1994,2,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"186","El Salvador",1999,1,0,0.94192,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"187","El Salvador",2004,1,3.2,3.2,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"188","El Salvador",2009,1,12.11,12.11,"UIT, con base en: DIGESTYC","UIT, con base en: DIGESTYC"
"189","El Salvador",2014,2,24.7617,24.7617,"UIT, con base en: Dirección General de Estadística y Censos. (DIGESTYC)","UIT, con base en: Dirección General de Estadística y Censos. (DIGESTYC)"
"190","El Salvador",2019,1,50.4912,50.4912,"UIT, con base en: Direccion General de Estadistica y Censos","UIT, con base en: Direccion General de Estadistica y Censos"
"191","El Salvador",2024,1,62.8885,62.8885,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"192","Brasil",1989,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"193","Brasil",2002,1,9.14943,9.14943,"UIT, con base en: ","UIT, con base en: "
"194","Brasil",2006,1,28.1784,28.1784,"UIT, con base en: ITU estimate based on Brazilian Internet Steering Committee.","UIT, con base en: ITU estimate based on Brazilian Internet Steering Committee."
"195","Brasil",2010,1,40.65,40.65,"UIT, con base en: Brazilian Internet Steering Committee.","UIT, con base en: Brazilian Internet Steering Committee."
"196","Brasil",2014,1,54.551,54.551,"UIT, con base en: Brazilian Internet Steering Committee","UIT, con base en: Brazilian Internet Steering Committee"
"197","Brasil",2018,1,70.4343,70.4343,"UIT, con base en: Brazilian Institute of Geography and Statistics","UIT, con base en: Brazilian Institute of Geography and Statistics"
"198","Brasil",2022,1,80.5278,80.5278,"UIT, con base en: ","UIT, con base en: "
"199","Argentina",2015,1,68.0431,68.0431,"UIT, con base en: Instituto Nacional de Estadistica y Censos","UIT, con base en: Instituto Nacional de Estadistica y Censos"
"200","Argentina",2023,1,89.229,89.229,"UIT, con base en: Instituto Nacional de Estadistica y Censos","UIT, con base en: Instituto Nacional de Estadistica y Censos"
"201","Chile",2000,1,0,13.28,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"202","Chile",2006,1,31.1753,31.1753,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"203","Chile",2010,1,41.56,41.56,"UIT, con base en: Ministerio de Planificación.","UIT, con base en: Ministerio de Planificación."
"204","Chile",2013,1,58,58,"UIT, con base en: Ministerio Desarrollo Social","UIT, con base en: Ministerio Desarrollo Social"
"205","Chile",2017,1,82.3275,82.3275,"UIT, con base en: Subsecretaría de Telecomunicaciones","UIT, con base en: Subsecretaría de Telecomunicaciones"
"206","Chile",2021,1,88.8045,88.8045,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"207","Peru",1990,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"208","Peru",2000,1,3.07643,3.07643,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
