"","cat_pais","ncat_eleccion","ncat_ronda","voteshareincumbent","source_voteshareincumbent"
"55","Chile",2021,1,12.79,"SERVEL Chilehttps://app.powerbi.com/view?r=eyJrIjoiODIyYWQ5NjctYTY3OS00NDQwLWJlMjQtMzA0ZjNjYmVlM2I2IiwidCI6ImVhZjg3OWJkLWQzZWMtNDY1MC1iMTI5LTEzZGZkZjQ4NTlmZSJ9 - "
"56","Chile",2021,2,0,"Imputado ya que no hay un claro oficialista"
"57","Colombia",1974,1,31.44,"Nohlen (2005b), Volumen II, p.353 - "
"58","Colombia",1978,1,49.5,"Nohlen (2005b), Volumen II, p.354 - "
"59","Colombia",1982,1,41,"Friedenberg (2016a) - "
"60","Colombia",1986,1,36,"Friedenberg (2016a) - "
"61","Colombia",1990,1,48.9,"Friedenberg (2016a) - "
"62","Colombia",1994,1,45.3,"Friedenberg (2016a) - "
"63","Colombia",1994,2,50.57,"Friedenberg (2016a) - "
"64","Colombia",1998,1,35.05,"Friedenberg (2016a) - "
"65","Colombia",1998,2,46.53,"Friedenberg (2016a) - "
"66","Colombia",2002,1,0,"Imputado ya que no hay un claro oficialista"
"67","Colombia",2006,1,62.35,"Friedenberg (2016a) - "
"68","Colombia",2010,1,46.67,"Friedenberg (2016a) - "
"69","Colombia",2010,2,69.56,"Friedenberg (2016a) - "
"70","Colombia",2014,1,25.72,"Friedenberg (2016a) - "
"71","Colombia",2014,2,50.99,"Friedenberg (2016a) - "
"72","Colombia",2018,1,0,"Imputado ya que no hay un claro oficialista"
"73","Colombia",2018,2,0,"Imputado ya que no hay un claro oficialista"
"74","Colombia",2022,1,23.9,"Mision de Observacion Electoralhttps://www.moe.org.co/wp-content/uploads/2022/11/DIGITAL-Resultados-Presidenciales-2022.pdf - "
"75","Colombia",2022,2,0,"Imputado ya que no hay un claro oficialista"
"76","Costa Rica",1962,1,13.49,"Nohlen (2005a), Volumen I, p. 178 - "
"77","Costa Rica",1966,1,49.52,"Political Database of the Americas + Nohlen (2005a), Volumen I, p. 179https://pdba.georgetown.edu/Elecdata/CR/costpres66.htm - "
"78","Costa Rica",1970,1,41.18,"Political Database of the Americas + Nohlen (2005a), Volumen I, p. 179https://pdba.georgetown.edu/Elecdata/CR/costpres70.htm - "
"79","Costa Rica",1974,1,43.44,"Political Database of the Americas + Nohlen (2005a), Volumen I, p. 179https://pdba.georgetown.edu/Elecdata/CR/costpres74.htm - "
"80","Costa Rica",1978,1,43.83,"Nohlen (2005a), Volumen I, p. 180 - "
"81","Costa Rica",1982,1,33.64,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231036 - "
"82","Costa Rica",1986,1,52.34,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231037 - "
"83","Costa Rica",1990,1,47.2,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231040 - "
"84","Costa Rica",1994,1,47.75,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231042 - "
"85","Costa Rica",1998,1,44.56,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231044 - "
"86","Costa Rica",2002,1,38.58,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231045 - "
"87","Costa Rica",2002,2,57.95,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231047 - "
"88","Costa Rica",2006,1,3.6,"TSE Costa Ricahttps://www.tse.go.cr/estadisticas_elecciones.htm - "
"89","Costa Rica",2010,1,46.91,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231051 - "
"90","Costa Rica",2014,1,29.71,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231054 - "
"91","Costa Rica",2014,2,22.24,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231056 - "
"92","Costa Rica",2018,1,21.63,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231058 - "
"93","Costa Rica",2018,2,60.59,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231059 - "
"94","Costa Rica",2022,1,0.7,"TSE Costa Ricahttps://www.tse.go.cr/estadisticas_elecciones.htm - "
"95","Costa Rica",2022,2,0,"Imputado ya que no hay un claro oficialista"
"96","Ecuador",1960,1,22.44,"Libro Presidentes, Instituto Democracia, p. 61 + Nohlen (2005b), Volumen II, p. 401 - "
"97","Ecuador",1968,1,0,"Imputado ya que no hay un claro oficialista"
"98","Ecuador",1979,1,0,"Imputado ya que no hay un claro oficialista"
"99","Ecuador",1979,2,0,"Imputado ya que no hay un claro oficialista"
"100","Ecuador",1984,1,4.7,"""Libro Presidentes"", Instituto de la Democracia Ecuadorhttps://institutodemocracia.gob.ec/wp-content/uploads/2019/11/libro_presidentes_1948-2017.pdf - "
"101","Ecuador",1984,2,0,"Imputado ya que no hay un claro oficialista"
"102","Ecuador",1988,1,14.72,"Web Wikipedia, con base en TSEhttps://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Ecuador_de_1988#Resultados y https://repositories.lib.utexas.edu/server/api/core/bitstreams/d7494aba-f7ad-4896-85b0-87807e884537/content - "
"103","Ecuador",1988,2,0,"Imputado ya que no hay un claro oficialista"
"104","Ecuador",1992,1,8.4,"""Libro Presidentes"", Instituto de la Democracia Ecuadorhttps://institutodemocracia.gob.ec/wp-content/uploads/2019/11/libro_presidentes_1948-2017.pdf - "
"105","Ecuador",1992,2,0,"Imputado ya que no hay un claro oficialista"
"106","Ecuador",1996,1,0,"Imputado ya que no hay un claro oficialista"
"107","Ecuador",1996,2,0,"Imputado ya que no hay un claro oficialista"
"108","Ecuador",1998,1,0,"Imputado ya que no hay un claro oficialista"
"109","Ecuador",1998,2,0,"Imputado ya que no hay un claro oficialista"
"110","Ecuador",2002,1,0,"Imputado ya que no hay un claro oficialista"
"111","Ecuador",2002,2,0,"Imputado ya que no hay un claro oficialista"
"112","Ecuador",2006,1,0,"Imputado ya que no hay un claro oficialista"
"113","Ecuador",2006,2,0,"Imputado ya que no hay un claro oficialista"
"114","Ecuador",2009,1,51.99,"Friedenberg (2016a) - "
"115","Ecuador",2013,1,57.17,"Friedenberg (2016a) - "
"116","Ecuador",2017,1,39.36,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231062 - "
"117","Ecuador",2017,2,51.15,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231062 - "
"118","Ecuador",2021,1,0,"Imputado ya que no hay un claro oficialista"
"119","Ecuador",2021,2,0,"Imputado ya que no hay un claro oficialista"
"120","Ecuador",2023,1,0,"Imputado ya que no hay un claro oficialista"
"121","Ecuador",2023,2,0,"Imputado ya que no hay un claro oficialista"
"122","El Salvador",1984,1,0,"Imputado ya que no hay un claro oficialista"
"123","El Salvador",1984,2,0,"Imputado ya que no hay un claro oficialista"
"124","El Salvador",1989,1,36.03,"Seawright (2016) - "
"125","El Salvador",1994,1,48.32,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231063 - "
"126","El Salvador",1994,2,68.35,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231065 - "
"127","El Salvador",1999,1,51.96,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231067 - "
"128","El Salvador",2004,1,57.71,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231069 - "
"129","El Salvador",2009,1,48.68,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231072 - "
"130","El Salvador",2014,1,48.93,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231073 - "
"131","El Salvador",2014,2,50.11,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231075 - "
"132","El Salvador",2019,1,14.42,"Observatorio electoral Argentinahttps://www.argentina.gob.ar/interior/observatorioelectoral/analisis/elecciones-en-el-mundo/el-salvador-2019 - "
"133","El Salvador",2024,1,84.65,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231079 - "
"134","Guatemala",1966,1,NA,NA
"135","Guatemala",1970,1,34.91,"Nohlen (2005a), Volumen I, p. 339 - "
"136","Guatemala",1974,1,44.61,"Nohlen (2005a), Volumen I, p. 339. Aclara que hubo fraude masivo y que los resultados no son confiables - "
"137","Guatemala",1978,1,40.33,"Nohlen (2005a), Volumen I, p. 340. Aclara que hubo fraude masivo y que los resultados no son confiables - "
"138","Guatemala",1982,1,28.24,"Nohlen (2005a), Volumen I, p. 340. Aclara que hubo fraude masivo y que los resultados no son confiables - "
"139","Guatemala",1985,1,0,"Imputado ya que no hay un claro oficialista"
"140","Guatemala",1985,2,0,"Imputado ya que no hay un claro oficialista"
"141","Guatemala",1991,1,17.49,"Friedenberg (2016b) - "
"142","Guatemala",1991,2,0,"Imputado ya que no hay un claro oficialista"
"143","Guatemala",1995,1,0,"Imputado ya que no hay un claro oficialista"
"144","Guatemala",1995,2,0,"Imputado ya que no hay un claro oficialista"
"145","Guatemala",1999,1,30.32,"Friedenberg (2016b) - "
"146","Guatemala",1999,2,31.69,"Friedenberg (2016b) - "
"147","Guatemala",2003,1,19.32,"Friedenberg (2016b) - "
"148","Guatemala",2003,2,0,"Imputado ya que no hay un claro oficialista"
"149","Guatemala",2007,1,17.23,"Friedenberg (2016b) - "
"150","Guatemala",2007,2,0,"Imputado ya que no hay un claro oficialista"
"151","Guatemala",2011,1,0,"Imputado ya que no hay un claro oficialista"
"152","Guatemala",2011,2,0,"Imputado ya que no hay un claro oficialista"
"153","Guatemala",2015,1,0,"Imputado ya que no hay un claro oficialista"
"154","Guatemala",2015,2,0,"Imputado ya que no hay un claro oficialista"
"155","Guatemala",2019,1,4.12,"Wikipedia con base en TSE Guatemala (sitio oficial caido)https://es.wikipedia.org/wiki/Elecci%C3%B3n_presidencial_de_Guatemala_de_2019#Resultados - "
"156","Guatemala",2019,2,0,"Imputado ya que no hay un claro oficialista"
"157","Guatemala",2023,1,10.37,"Wikipedia con base en TSE Guatemala (sitio oficial caido)https://es.wikipedia.org/wiki/Elecciones_generales_de_Guatemala_de_2023#Resultados - "
"158","Guatemala",2023,2,0,"Imputado ya que no hay un claro oficialista"
"159","Honduras",1981,1,0,"Imputado ya que no hay un claro oficialista"
"160","Honduras",1985,1,0,"Imputado ya que no hay un claro oficialista"
"161","Honduras",1989,1,44.31,"Friedenberg (2016b) - "
"162","Honduras",1993,1,42.97,"Friedenberg (2016b) - "
"163","Honduras",1997,1,52.65,"Friedenberg (2016b) - "
"164","Honduras",2001,1,44.26,"Friedenberg (2016b) - "
"165","Honduras",2005,1,46.22,"Friedenberg (2016b) - "
"166","Honduras",2009,1,38.09,"Friedenberg (2016b) - "
"167","Honduras",2013,1,36.89,"Friedenberg (2016b) - "
"168","Honduras",2017,1,42.95,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231067 - "
"169","Honduras",2021,1,36.93,"CNE Hondurashttps://resultadosgenerales2021.cne.hn:8080/#resultados/PRE/HN - "
"170","Mexico",1982,1,74.31,"Nohlen (2005a), Volumen I, p. 474 - "
"171","Mexico",1988,1,50.74,"Nohlen (2005a), Volumen I, p. 474 - "
"172","Mexico",1994,1,48.69,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231067 - "
"173","Mexico",2000,1,36.89,"Nohlen (2005a), Volumen I, p. 475 + INE Mexicohttps://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231067 - "
"174","Mexico",2006,1,35.89,"INE Mexicohttps://portalanterior.ine.mx/documentos/Estadisticas2006/presidentet/nac.html - "
"175","Mexico",2012,1,25.41,"IFE Mexicohttps://portalanterior.ine.mx/archivos3/portal/historico/recursos/IFE-v2/CNCS/CNCS-IFE-Responde/2012/Julio/Le010712/Le010712.pdf - "
"176","Mexico",2018,1,16.41,"TE Mexicohttps://www.te.gob.mx/front3/bulletins/detail/3360/0 - "
"177","Nicaragua",1984,1,66.97,"Nohlen (2005a), Volumen I, p. 502 - "
"178","Nicaragua",1990,1,40.7,"Friedenberg (2016b) - "
"179","Nicaragua",1996,1,0,"Imputado ya que no hay un claro oficialista"
"180","Nicaragua",2001,1,56.3,"Friedenberg (2016b) - "
"181","Nicaragua",2006,1,27.11,"Political Database of the Americashttps://pdba.georgetown.edu/Elecdata/Nica/nica06.html - "
"182","Nicaragua",2011,1,62.5,"Friedenberg (2016b) - "
"183","Nicaragua",2016,1,72.44,"Archivo del CSEhttps://web.archive.org/web/20161114025014/http://www.cse.gob.ni/fri3/respres1.php - "
"184","Panama",1994,1,29.1,"Friedenberg (2016b) - "
"185","Panama",1999,1,37.82,"Friedenberg (2016b) - "
"186","Panama",2004,1,16.4,"Friedenberg (2016b) - "
"187","Panama",2009,1,37.65,"Friedenberg (2016b) - "
"188","Panama",2014,1,31.28,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231067 - "
"189","Panama",2019,1,10.83,"Instituto Electoral de la Ciudad de Mexicohttps://www.iecm.mx/www/sites/VotoChilango/docs/InformeEleccionesGeneralesenPanama.pdf - "
"190","Paraguay",1989,1,74.35,"Friedenberg (2016a) - "
"191","Paraguay",1993,1,41.78,"Friedenberg (2016a) - "
"192","Paraguay",1998,1,55.35,"Friedenberg (2016a) - "
"193","Paraguay",2003,1,37.18,"Friedenberg (2016a) - "
"194","Paraguay",2008,1,30.63,"TSJE Paraguayhttps://www.tsje.gov.py/static/ups/libros/pdf/2008.pdf - "
"195","Paraguay",2013,1,37.11,"Friedenberg (2016a) - "
"196","Paraguay",2018,1,46.42,"TSJE Paraguayhttps://tsje.gov.py/resultados-de-computo-definitivo---elecciones-generales-2018.html - "
"197","Paraguay",2023,1,42.74,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231067 - "
"198","Peru",1980,1,0,"Imputado ya que no hay un claro oficialista"
"199","Peru",1985,1,7.25,"Nohlen (2005b), Volumen II, p. 472 - "
"200","Peru",1990,1,22.5,"Friedenberg (2016a) - "
"201","Peru",1990,2,0,"Imputado ya que no hay un claro oficialista"
"202","Peru",1995,1,64.28,"Nohlen (2005b), Volumen II, p. 473 - "
"203","Peru",2000,1,49.87,"Nohlen (2005b), Volumen II, p. 474 - "
"204","Peru",2000,2,74.33,"Friedenberg (2016a) - "
"205","Peru",2001,1,0,"Imputado ya que no hay un claro oficialista"
"206","Peru",2001,2,0,"Imputado ya que no hay un claro oficialista"
"207","Peru",2006,1,0,"Imputado ya que no hay un claro oficialista"
"208","Peru",2006,2,0,"Imputado ya que no hay un claro oficialista"
"209","Peru",2011,1,0,"Imputado ya que no hay un claro oficialista"
"210","Peru",2011,2,0,"Imputado ya que no hay un claro oficialista"
"211","Peru",2016,1,0,"Imputado ya que no hay un claro oficialista"
"212","Peru",2016,2,0,"Imputado ya que no hay un claro oficialista"
"213","Peru",2021,1,2.26,"ONPE Peruhttps://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesPresidenciales/RePres/T - "
"214","Peru",2021,2,0,"Imputado ya que no hay un claro oficialista"
"215","Republica Dominicana",1978,1,42.99,"Nohlen (2005a), Volumen I, p. 262 - "
"216","Republica Dominicana",1982,1,46.7,"Nohlen (2005a), Volumen I, p. 262 - "
"217","Republica Dominicana",1986,1,39.2,"Nohlen (2005a), Volumen I, p. 263 - "
"218","Republica Dominicana",1990,1,35.05,"Nohlen (2005a), Volumen I, p. 263 - "
"219","Republica Dominicana",1994,1,42.3,"Nohlen (2005a), Volumen I, p. 263 - "
"220","Republica Dominicana",1996,1,15,"Nohlen (2005a), Volumen I, p. 263 - "
"221","Republica Dominicana",1996,2,0,"Imputado ya que no hay un claro oficialista"
"222","Republica Dominicana",2000,1,24.9,"Nohlen (2005a), Volumen I, p. 264 - "
"223","Republica Dominicana",2004,1,33.7,"Nohlen (2005a), Volumen I, p. 264 - "
"224","Republica Dominicana",2008,1,53.83,"Political Database of the Americashttps://pdba.georgetown.edu/Elecdata/DomRep/DR08.html - "
"225","Republica Dominicana",2012,1,51.21,"Political Database of the Americashttps://pdba.georgetown.edu/Elecdata/DomRep/DR12.html - "
"226","Republica Dominicana",2016,1,61.74,"JCE R.Dominicanahttps://jce.gob.do/DesktopModules/Bring2mind/DMX/Download.aspx?EntryId=5397&Command=Core_Download&language=es-ES&PortalId=1&TabId=190 - "
"227","Republica Dominicana",2020,1,37.46,"JCE R.Dominicanahttps://jce.gob.do/DesktopModules/Bring2mind/DMX/Download.aspx?EntryId=21247&Command=Core_Download&language=es-ES&PortalId=1&TabId=190 - "
"228","Uruguay",1984,1,0,"Imputado ya que no hay un claro oficialista"
"229","Uruguay",1989,1,0,"Imputado ya que no hay un claro oficialista"
"230","Uruguay",1994,1,0,"Imputado ya que no hay un claro oficialista"
"231","Uruguay",1999,1,32.78,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231074 - "
"232","Uruguay",1999,2,54.13,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231075 - "
"233","Uruguay",2004,1,10.78,"Nohlen (2005b), Volumen II, p. 527 - "
"234","Uruguay",2009,1,47.96,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231079 - "
"235","Uruguay",2009,2,54.63,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231081 - "
"236","Uruguay",2014,1,47.81,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231083 - "
"237","Uruguay",2014,2,56.5,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231085 - "
"238","Uruguay",2019,1,40.49,"Corte Electoral Uruguayhttps://eleccionesnacionales.corteelectoral.gub.uy/ - "
"239","Uruguay",2019,2,49.21,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231090 - "
"240","Venezuela",1958,1,34.61,"Archivo del CNEhttps://web.archive.org/web/20161114025014/http://www.cse.gob.ni/fri3/respres1.php - "
"241","Venezuela",1963,1,32.81,"Archivo del CNEhttps://web.archive.org/web/20161114025014/http://www.cse.gob.ni/fri3/respres1.php - "
"242","Venezuela",1968,1,28.24,"Archivo del CNEhttps://web.archive.org/web/20161114025014/http://www.cse.gob.ni/fri3/respres1.php - "
"243","Venezuela",1973,1,36.7,"Nohlen (2005b), Volumen II, p. 581 + Archivo del CNEhttps://web.archive.org/web/20161114025014/http://www.cse.gob.ni/fri3/respres1.php - "
"244","Venezuela",1978,1,43.31,"Nohlen (2005b), Volumen II, p. 581 - "
"245","Venezuela",1983,1,33.53,"Nohlen (2005b), Volumen II, p. 582 - "
"246","Venezuela",1988,1,52.91,"Nohlen (2005b), Volumen II, p. 582 - "
"247","Venezuela",1993,1,0,"Imputado ya que no hay un claro oficialista"
"248","Venezuela",1998,1,0,"Imputado ya que no hay un claro oficialista"
"249","Venezuela",2000,1,59.76,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231101 - "
"250","Venezuela",2006,1,62.84,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231103 - "
"251","Venezuela",2012,1,55.07,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231105 - "
"252","Venezuela",2013,1,50.61,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231107 - "
"253","Venezuela",2018,1,67.84,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231109 - "
