"","id_debate","ncat_eleccion","cat_pais","t_fecha","ncat_ronda","str_organizador","cat_organizador","cat_subtipoorg","n_strorganizador","n_catorganizador","dico_org_educ","dico_org_estado","dico_org_mmc","dico_org_mmp","dico_org_osc","nombres_organizadores","ncat_subtipov2","cat_tipoorgv2","ncat_tipoorg_ambito","ncat_tipoorg_visibilidad","cat_areaorg"
"18",11,1994,"Brasil",1994-08-17,1,"Rede Bandeirantes","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Bandeirantes","tv_abierta_privada","mmc",2,3,"tv"
"19",12,2002,"Brasil",2002-08-04,1,"Rede Bandeirantes","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Bandeirantes","tv_abierta_privada","mmc",2,3,"tv"
"20",13,2002,"Brasil",2002-09-02,1,"Rede Record","mmc","medios_iglesia",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Record","tv_abierta_privada","mmc",2,3,"tv"
"21",14,2002,"Brasil",2002-10-03,1,"Rede Globo","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Globo","tv_abierta_privada","mmc",2,3,"tv"
"22",15,2002,"Brasil",2002-10-25,2,"Rede Globo","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Globo","tv_abierta_privada","mmc",2,3,"tv"
"23",16,2006,"Brasil",2006-08-14,1,"Rede Bandeirantes","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Bandeirantes","tv_abierta_privada","mmc",2,3,"tv"
"24",17,2006,"Brasil",2006-09-14,1,"TV Gazeta","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","TV Gazeta","tv_abierta_privada","mmc",2,3,"tv"
"25",18,2006,"Brasil",2006-09-28,1,"Rede Globo","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Globo","tv_abierta_privada","mmc",2,3,"tv"
"26",19,2006,"Brasil",2006-10-08,2,"Rede Bandeirantes","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Bandeirantes","tv_abierta_privada","mmc",2,3,"tv"
"27",20,2006,"Brasil",2006-10-19,2,"SBT","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","SBT","tv_abierta_privada","mmc",2,3,"tv"
"28",21,2006,"Brasil",2006-10-23,2,"Rede Record","mmc","medios_iglesia",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Record","tv_abierta_privada","mmc",2,3,"tv"
"29",22,2006,"Brasil",2006-10-27,2,"Rede Globo","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Globo","tv_abierta_privada","mmc",2,3,"tv"
"30",23,2010,"Brasil",2010-08-05,1,"Rede Bandeirantes","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Bandeirantes","tv_abierta_privada","mmc",2,3,"tv"
"31",24,2010,"Brasil",2010-08-18,1,"FSP;UOL","mmc","productor_digital;medio_gráfico",2,1,"FALSE","FALSE","TRUE","FALSE","FALSE","FSP","grafico_privado","mmc",2,3,"grafico"
"32",24,2010,"Brasil",2010-08-18,1,"FSP;UOL","mmc","productor_digital;medio_gráfico",2,1,"FALSE","FALSE","TRUE","FALSE","FALSE","UOL","telecomu_privado","mmc",2,3,"otros_medios"
"33",25,2010,"Brasil",2010-08-23,1,"TV Canção Nova;Rede Aparecida","mmc","medios_iglesia",2,1,"FALSE","FALSE","TRUE","FALSE","FALSE","TV Canção Nova","tv_iglesia_abierta","mmc",2,3,"iglesia"
"34",25,2010,"Brasil",2010-08-23,1,"TV Canção Nova;Rede Aparecida","mmc","medios_iglesia",2,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Aparecida","tv_iglesia_abierta","mmc",2,3,"iglesia"
"35",26,2010,"Brasil",2010-09-08,1,"TV Gazeta;O Estado de São Paulo","mmc","medio_privado;medio_gráfico",2,1,"FALSE","FALSE","TRUE","FALSE","FALSE","TV Gazeta","tv_abierta_privada","mmc",2,3,"tv"
"36",26,2010,"Brasil",2010-09-08,1,"TV Gazeta;O Estado de São Paulo","mmc","medio_privado;medio_gráfico",2,1,"FALSE","FALSE","TRUE","FALSE","FALSE","O Estado de São Paulo","estado_subnacional","estado",5,1,"estado"
"37",27,2010,"Brasil",2010-09-12,1,"RedeTV!;FSP","mmc","medio_privado;medio_gráfico",2,1,"FALSE","FALSE","TRUE","FALSE","FALSE","RedeTV!","tv_abierta_privada","mmc",2,3,"tv"
"38",27,2010,"Brasil",2010-09-12,1,"RedeTV!;FSP","mmc","medio_privado;medio_gráfico",2,1,"FALSE","FALSE","TRUE","FALSE","FALSE","FSP","grafico_privado","mmc",2,3,"grafico"
"39",28,2010,"Brasil",2010-09-20,1,"SBT","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","SBT","tv_abierta_privada","mmc",2,3,"tv"
"40",29,2010,"Brasil",2010-09-23,1,"Universidade Católica de Brasília;TV Senado;Associação Brasileira das Universidades Comunitárias ABRUC;Comissão Brasileira de Justiça e Paz CBJP;Associação Nacional de Educação Católica ANEC","educ;mmp;osc","instit_educ;canal_publico;iglesia",5,3,"TRUE","FALSE","FALSE","TRUE","TRUE","Universidade Católica de Brasília","educ_iglesia","educ",2,1,"iglesia"
"41",29,2010,"Brasil",2010-09-23,1,"Universidade Católica de Brasília;TV Senado;Associação Brasileira das Universidades Comunitárias ABRUC;Comissão Brasileira de Justiça e Paz CBJP;Associação Nacional de Educação Católica ANEC","educ;mmp;osc","instit_educ;canal_publico;iglesia",5,3,"TRUE","FALSE","FALSE","TRUE","TRUE","TV Senado","tv_publica_abierta","mmp",5,3,"medios_publicos"
"42",29,2010,"Brasil",2010-09-23,1,"Universidade Católica de Brasília;TV Senado;Associação Brasileira das Universidades Comunitárias ABRUC;Comissão Brasileira de Justiça e Paz CBJP;Associação Nacional de Educação Católica ANEC","educ;mmp;osc","instit_educ;canal_publico;iglesia",5,3,"TRUE","FALSE","FALSE","TRUE","TRUE","Associação Brasileira das Universidades Comunitárias ABRUC","educ_asoc_privadas","educ",2,1,"educacion"
"43",29,2010,"Brasil",2010-09-23,1,"Universidade Católica de Brasília;TV Senado;Associação Brasileira das Universidades Comunitárias ABRUC;Comissão Brasileira de Justiça e Paz CBJP;Associação Nacional de Educação Católica ANEC","educ;mmp;osc","instit_educ;canal_publico;iglesia",5,3,"TRUE","FALSE","FALSE","TRUE","TRUE","Comissão Brasileira de Justiça e Paz CBJP","asoc_iglesia","osc",2,1,"iglesia"
"44",29,2010,"Brasil",2010-09-23,1,"Universidade Católica de Brasília;TV Senado;Associação Brasileira das Universidades Comunitárias ABRUC;Comissão Brasileira de Justiça e Paz CBJP;Associação Nacional de Educação Católica ANEC","educ;mmp;osc","instit_educ;canal_publico;iglesia",5,3,"TRUE","FALSE","FALSE","TRUE","TRUE","Associação Nacional de Educação Católica ANEC","educ_asoc_iglesia","educ",2,1,"iglesia"
"45",30,2010,"Brasil",2010-09-26,1,"Rede Record","mmc","medios_iglesia",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Record","tv_abierta_privada","mmc",2,3,"tv"
"46",31,2010,"Brasil",2010-09-30,1,"Rede Globo","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Globo","tv_abierta_privada","mmc",2,3,"tv"
"47",32,2010,"Brasil",2010-10-10,2,"Rede Bandeirantes","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Bandeirantes","tv_abierta_privada","mmc",2,3,"tv"
"48",33,2010,"Brasil",2010-10-17,2,"RedeTV!;FSP","mmc","medio_privado;medio_gráfico",2,1,"FALSE","FALSE","TRUE","FALSE","FALSE","RedeTV!","tv_abierta_privada","mmc",2,3,"tv"
"49",33,2010,"Brasil",2010-10-17,2,"RedeTV!;FSP","mmc","medio_privado;medio_gráfico",2,1,"FALSE","FALSE","TRUE","FALSE","FALSE","FSP","grafico_privado","mmc",2,3,"grafico"
"50",34,2010,"Brasil",2010-10-25,2,"Rede Record","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Record","tv_abierta_privada","mmc",2,3,"tv"
"51",35,2010,"Brasil",2010-10-29,2,"Rede Globo","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Globo","tv_abierta_privada","mmc",2,3,"tv"
"52",36,2014,"Brasil",2014-08-26,1,"Rede Bandeirantes","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Bandeirantes","tv_abierta_privada","mmc",2,3,"tv"
"53",37,2014,"Brasil",2014-09-01,1,"SBT;FSP;UOL;Jovem Pan","mmc","medio_privado;medio_gráfico;radio;productor_digital",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","SBT","tv_abierta_privada","mmc",2,3,"tv"
"54",37,2014,"Brasil",2014-09-01,1,"SBT;FSP;UOL;Jovem Pan","mmc","medio_privado;medio_gráfico;radio;productor_digital",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","FSP","grafico_privado","mmc",2,3,"grafico"
"55",37,2014,"Brasil",2014-09-01,1,"SBT;FSP;UOL;Jovem Pan","mmc","medio_privado;medio_gráfico;radio;productor_digital",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","UOL","telecomu_privado","mmc",2,3,"otros_medios"
"56",37,2014,"Brasil",2014-09-01,1,"SBT;FSP;UOL;Jovem Pan","mmc","medio_privado;medio_gráfico;radio;productor_digital",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Jovem Pan","radio_privada","mmc",2,3,"radios"
"57",38,2014,"Brasil",2014-09-16,1,"Rede Aparecida;CNBB Conferência Nacional dos Bispos do Brasil","mmc;osc","medio_iglesia;iglesia",2,2,"FALSE","FALSE","TRUE","FALSE","TRUE","Rede Aparecida","tv_iglesia_abierta","mmc",2,3,"iglesia"
"58",38,2014,"Brasil",2014-09-16,1,"Rede Aparecida;CNBB Conferência Nacional dos Bispos do Brasil","mmc;osc","medio_iglesia;iglesia",2,2,"FALSE","FALSE","TRUE","FALSE","TRUE","CNBB Conferência Nacional dos Bispos do Brasil","asoc_iglesia","osc",2,1,"iglesia"
"59",39,2014,"Brasil",2014-09-28,1,"Rede Record","mmc","medios_iglesia",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Record","tv_abierta_privada","mmc",2,3,"tv"
"60",40,2014,"Brasil",2014-10-02,1,"Rede Globo","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Globo","tv_abierta_privada","mmc",2,3,"tv"
"61",41,2014,"Brasil",2014-10-14,2,"Rede Bandeirantes","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Bandeirantes","tv_abierta_privada","mmc",2,3,"tv"
"62",42,2014,"Brasil",2014-10-16,2,"SBT;FSP;UOL;Jovem Pan","mmc","medio_privado;medio_gráfico;radio;productor_digital",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","SBT","tv_abierta_privada","mmc",2,3,"tv"
"63",42,2014,"Brasil",2014-10-16,2,"SBT;FSP;UOL;Jovem Pan","mmc","medio_privado;medio_gráfico;radio;productor_digital",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","FSP","grafico_privado","mmc",2,3,"grafico"
"64",42,2014,"Brasil",2014-10-16,2,"SBT;FSP;UOL;Jovem Pan","mmc","medio_privado;medio_gráfico;radio;productor_digital",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","UOL","telecomu_privado","mmc",2,3,"otros_medios"
"65",42,2014,"Brasil",2014-10-16,2,"SBT;FSP;UOL;Jovem Pan","mmc","medio_privado;medio_gráfico;radio;productor_digital",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Jovem Pan","radio_privada","mmc",2,3,"radios"
"66",43,2014,"Brasil",2014-10-19,2,"Rede Record","mmc","medios_iglesia",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Record","tv_abierta_privada","mmc",2,3,"tv"
"67",44,2014,"Brasil",2014-10-24,2,"Rede Globo","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Globo","tv_abierta_privada","mmc",2,3,"tv"
"68",45,2018,"Brasil",2018-08-09,1,"Rede Bandeirantes","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Bandeirantes","tv_abierta_privada","mmc",2,3,"tv"
"69",46,2018,"Brasil",2018-08-17,1,"RedeTV!;Istoé","mmc","medio_privado;medio_gráfico",2,1,"FALSE","FALSE","TRUE","FALSE","FALSE","RedeTV!","tv_abierta_privada","mmc",2,3,"tv"
"70",46,2018,"Brasil",2018-08-17,1,"RedeTV!;Istoé","mmc","medio_privado;medio_gráfico",2,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Istoé","grafico_privado","mmc",2,3,"grafico"
"71",47,2018,"Brasil",2018-09-09,1,"TV Gazeta;O Estado de S.Paulo;UOL;Jovem Pan","mmc","medio_privado;productor_internet;radio;medio_gráfico",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","TV Gazeta","tv_abierta_privada","mmc",2,3,"tv"
"72",47,2018,"Brasil",2018-09-09,1,"TV Gazeta;O Estado de S.Paulo;UOL;Jovem Pan","mmc","medio_privado;productor_internet;radio;medio_gráfico",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","O Estado de S.Paulo","estado_subnacional","estado",5,1,"estado"
"73",47,2018,"Brasil",2018-09-09,1,"TV Gazeta;O Estado de S.Paulo;UOL;Jovem Pan","mmc","medio_privado;productor_internet;radio;medio_gráfico",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","UOL","telecomu_privado","mmc",2,3,"otros_medios"
"74",47,2018,"Brasil",2018-09-09,1,"TV Gazeta;O Estado de S.Paulo;UOL;Jovem Pan","mmc","medio_privado;productor_internet;radio;medio_gráfico",4,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Jovem Pan","radio_privada","mmc",2,3,"radios"
"75",48,2018,"Brasil",2018-09-20,1,"Rede Aparecida;CNBB Conferência Nacional dos Bispos do Brasil","mmc;osc","medio_iglesia;iglesia",2,2,"FALSE","FALSE","TRUE","FALSE","TRUE","Rede Aparecida","tv_iglesia_abierta","mmc",2,3,"iglesia"
"76",48,2018,"Brasil",2018-09-20,1,"Rede Aparecida;CNBB Conferência Nacional dos Bispos do Brasil","mmc;osc","medio_iglesia;iglesia",2,2,"FALSE","FALSE","TRUE","FALSE","TRUE","CNBB Conferência Nacional dos Bispos do Brasil","asoc_iglesia","osc",2,1,"iglesia"
"77",49,2018,"Brasil",2018-09-26,1,"SBT;FSP;UOL","mmc","medio_privado;medio_gráfico;productor_digital",3,1,"FALSE","FALSE","TRUE","FALSE","FALSE","SBT","tv_abierta_privada","mmc",2,3,"tv"
"78",49,2018,"Brasil",2018-09-26,1,"SBT;FSP;UOL","mmc","medio_privado;medio_gráfico;productor_digital",3,1,"FALSE","FALSE","TRUE","FALSE","FALSE","FSP","grafico_privado","mmc",2,3,"grafico"
"79",49,2018,"Brasil",2018-09-26,1,"SBT;FSP;UOL","mmc","medio_privado;medio_gráfico;productor_digital",3,1,"FALSE","FALSE","TRUE","FALSE","FALSE","UOL","telecomu_privado","mmc",2,3,"otros_medios"
"80",50,2018,"Brasil",2018-09-30,1,"Rede Record","mmc","medios_iglesia",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Record","tv_abierta_privada","mmc",2,3,"tv"
"81",51,2018,"Brasil",2018-10-02,1,"Rede Globo","mmc","medio_privado",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Rede Globo","tv_abierta_privada","mmc",2,3,"tv"
"82",52,1989,"Chile",1989-10-09,1,"Canal 13 Pontificia Universidad Católica de Chile","mmc","canal_universitario",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Canal 13 Pontificia Universidad Católica de Chile","tv_abierta_privada","mmc",2,3,"tv"
"83",53,1993,"Chile",1993-11-02,1,"ANATEL","mmc","asoc_medios",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","ANATEL","asoc_medios","mmc",3,2,"asociaciones_medios"
"84",54,2000,"Chile",1999-11-02,1,"ANATEL","mmc","asoc_medios",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","ANATEL","asoc_medios","mmc",3,2,"asociaciones_medios"
"85",55,2006,"Chile",2005-09-26,1,"Universidad de Chile","educ","instit_educ",1,1,"TRUE","FALSE","FALSE","FALSE","FALSE","Universidad de Chile","educ_publica","educ",4,1,"educacion"
"86",56,2006,"Chile",2005-10-19,1,"Canal 13 Pontificia Universidad Católica de Chile;CNN en Español","mmc","canal_universitario",2,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Canal 13 Pontificia Universidad Católica de Chile","tv_abierta_privada","mmc",2,3,"tv"
"87",56,2006,"Chile",2005-10-19,1,"Canal 13 Pontificia Universidad Católica de Chile;CNN en Español","mmc","canal_universitario",2,1,"FALSE","FALSE","TRUE","FALSE","FALSE","CNN en Español","tv_internacional","mmc",2,3,"internacional"
"88",57,2006,"Chile",2005-11-16,1,"ANATEL","mmc","asoc_medios",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","ANATEL","asoc_medios","mmc",3,2,"asociaciones_medios"
"89",58,2006,"Chile",2006-01-04,2,"ANATEL","mmc","asoc_medios",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","ANATEL","asoc_medios","mmc",3,2,"asociaciones_medios"
"90",59,2006,"Chile",2005-11-29,1,"ENADE / ICARE","osc","org_empresaria",1,1,"FALSE","FALSE","FALSE","FALSE","TRUE","ENADE / ICARE","asoc_empresaria","osc",1,1,"empresa"
"91",60,2006,"Chile",2005-10-25,1,"ComunidadMujer","osc","osc",1,1,"FALSE","FALSE","FALSE","FALSE","TRUE","ComunidadMujer","ong_genero","osc",3,1,"osc_ddh"
"92",61,2010,"Chile",2009-09-25,1,"ComunidadMujer","osc","osc",1,1,"FALSE","FALSE","FALSE","FALSE","TRUE","ComunidadMujer","ong_genero","osc",3,1,"osc_ddh"
"93",62,2010,"Chile",2009-09-23,1,"TVN","mmp","medio_público",1,1,"FALSE","FALSE","FALSE","TRUE","FALSE","TVN","tv_publica_abierta","mmp",5,3,"medios_publicos"
"94",63,2010,"Chile",2009-10-09,1,"ARCHI;Universidad Mayor","mmc;educ","asoc_medios;instit_edu",2,2,"TRUE","FALSE","TRUE","FALSE","FALSE","ARCHI","asoc_medios","mmc",3,2,"asociaciones_medios"
"95",63,2010,"Chile",2009-10-09,1,"ARCHI;Universidad Mayor","mmc;educ","asoc_medios;instit_edu",2,2,"TRUE","FALSE","TRUE","FALSE","FALSE","Universidad Mayor","educ_privada","educ",2,1,"educacion"
"96",64,2010,"Chile",2009-11-06,1,"ANP Asociación Nacional de la Prensa","mmc","asociación prensa",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","ANP Asociación Nacional de la Prensa","asoc_medios","mmc",3,2,"asociaciones_medios"
"97",65,2010,"Chile",2009-11-09,1,"Canal 13 Pontificia Universidad Católica de Chile","mmc","canal_universitario",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","Canal 13 Pontificia Universidad Católica de Chile","tv_abierta_privada","mmc",2,3,"tv"
"98",66,2010,"Chile",2009-11-16,1,"ANATEL","mmc","asoc_medios",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","ANATEL","asoc_medios","mmc",3,2,"asociaciones_medios"
"99",67,2010,"Chile",2009-11-17,1,"ENADE / ICARE","osc","org_empresaria",1,1,"FALSE","FALSE","FALSE","FALSE","TRUE","ENADE / ICARE","asoc_empresaria","osc",1,1,"empresa"
"100",68,2010,"Chile",2010-01-11,2,"ANATEL","mmc","asoc_medios",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","ANATEL","asoc_medios","mmc",3,2,"asociaciones_medios"
"101",69,2013,"Chile",2013-10-09,1,"ANP Asociación Nacional de la Prensa;CNN Chile","mmc","asoc_medios;canal_internacional",2,1,"FALSE","FALSE","TRUE","FALSE","FALSE","ANP Asociación Nacional de la Prensa","asoc_medios","mmc",3,2,"asociaciones_medios"
"102",69,2013,"Chile",2013-10-09,1,"ANP Asociación Nacional de la Prensa;CNN Chile","mmc","asoc_medios;canal_internacional",2,1,"FALSE","FALSE","TRUE","FALSE","FALSE","CNN Chile","tv_pago_privada","mmc",2,3,"tv"
"103",70,2013,"Chile",2013-10-25,1,"ARCHI","mmc","asoc_medios",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","ARCHI","asoc_medios","mmc",3,2,"asociaciones_medios"
"104",71,2013,"Chile",2013-10-29,1,"ANATEL","mmc","asoc_medios",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","ANATEL","asoc_medios","mmc",3,2,"asociaciones_medios"
"105",72,2013,"Chile",2013-12-06,2,"ARCHI","mmc","asoc_medios",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","ARCHI","asoc_medios","mmc",3,2,"asociaciones_medios"
"106",73,2013,"Chile",2013-12-10,2,"ANATEL","mmc","asoc_medios",1,1,"FALSE","FALSE","TRUE","FALSE","FALSE","ANATEL","asoc_medios","mmc",3,2,"asociaciones_medios"
"107",74,2013,"Chile",2017-10-17,1,"ENADE / ICARE","osc","org_empresaria",1,1,"FALSE","FALSE","FALSE","FALSE","TRUE","ENADE / ICARE","asoc_empresaria","osc",1,1,"empresa"
"108",75,2017,"Chile",2017-10-18,1,"ENADE / ICARE","osc","org_empresaria",1,1,"FALSE","FALSE","FALSE","FALSE","TRUE","ENADE / ICARE","asoc_empresaria","osc",1,1,"empresa"
"109",76,2017,"Chile",2017-10-03,1,"Universidad de Chile;Radio Cooperativa","educ;mmc","radio;instit_educ",2,2,"TRUE","FALSE","TRUE","FALSE","FALSE","Universidad de Chile","educ_publica","educ",4,1,"educacion"
"110",76,2017,"Chile",2017-10-03,1,"Universidad de Chile;Radio Cooperativa","educ;mmc","radio;instit_educ",2,2,"TRUE","FALSE","TRUE","FALSE","FALSE","Radio Cooperativa","radio_privada","mmc",2,3,"radios"
"111",77,2017,"Chile",2017-10-24,1,"Agrupación Lésbica Rompiendo El Silencio;Aprofa Chile;Coordinadora Autónoma contra la Violencia;Corporación Humanas;Mujeres Lideres Para Chile;Fondo Alquimia;Fundación Margen;Instituto de la Mujer;Mesa Acción por el Aborto en Chile;Movimiento Pro-Emancipación de las Mujeres de Chile;Observatorio Contra el Acoso Callejero Chile;Observatorio de Género y Equidad;Red Chilena Contra la Violencia Hacia las Mujeres;El Desconcierto.","mmc;osc","osc;medio_digital",14,2,"FALSE","FALSE","TRUE","FALSE","TRUE","Agrupación Lésbica Rompiendo El Silencio","ong_genero","osc",3,1,"osc_ddh"
